date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:59	36468/36468	---MCZ	200	added ('OK')	font/x-woff	etag:W/%220cc28ae59fbd81:0%22	https://frogtoken.net/assets/fonts/power-grotesk/PowerGrotesk-UltraBold.woff	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/power-grotesk/PowerGrotesk-UltraBold.woff	(from https://frogtoken.net/assets/css/theme/main.css)
10:53:00	7005/7005	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2003:53:05%20GMT	https://frogtoken.net/assets/fonts/mabry-pro/MabryPro-Regular.woff2	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/mabry-pro/MabryPro-Regular.woff2	(from https://frogtoken.net/assets/css/theme/main.css)
10:53:01	75376/75376	---MCZ	200	added ('OK')	font/x-woff	etag:W/%220f959af59fbd81:0%22	https://frogtoken.net/assets/fonts/mabry-pro/MabryPro-Regular.woff	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/mabry-pro/MabryPro-Regular.woff	(from https://frogtoken.net/assets/css/theme/main.css)
10:53:01	6999/6999	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2003:53:07%20GMT	https://frogtoken.net/assets/fonts/mabry-pro/MabryPro-Bold.woff2	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/mabry-pro/MabryPro-Bold.woff2	(from https://frogtoken.net/assets/css/theme/main.css)
10:53:03	74656/74656	---MCZ	200	added ('OK')	font/x-woff	etag:W/%220cc28ae59fbd81:0%22	https://frogtoken.net/assets/fonts/mabry-pro/MabryPro-Bold.woff	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/mabry-pro/MabryPro-Bold.woff	(from https://frogtoken.net/assets/css/theme/main.css)
10:53:04	139576/139576	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%220b1485a2fbbd81:0%22	https://frogtoken.net/assets/fonts/unicons/Unicons.eot?lkolxg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/unicons/Unicons6c87.eot	(from https://frogtoken.net/assets/css/theme/main.css)
10:53:05	139412/139412	---M--	200	added ('OK')	application/octet-stream	etag:%220b1485a2fbbd81:0%22	https://frogtoken.net/assets/fonts/unicons/Unicons.ttf?lkolxg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/unicons/Unicons6c87.ttf	(from https://frogtoken.net/assets/css/theme/main.css)
10:53:07	507238/507238	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220b1485a2fbbd81:0%22	https://frogtoken.net/assets/fonts/unicons/Unicons.svg?lkolxg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/unicons/Unicons6c87.svg	(from https://frogtoken.net/assets/css/theme/main.css)
10:53:07	43060/43060	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%220b1485a2fbbd81:0%22	https://frogtoken.net/assets/fonts/brand-icons/brand-icons.eot	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/brand-icons/brand-icons.eot	(from https://frogtoken.net/assets/css/theme/main.css)
10:53:08	27180/27180	---MCZ	200	added ('OK')	font/x-woff	etag:W/%220b1485a2fbbd81:0%22	https://frogtoken.net/assets/fonts/brand-icons/brand-icons.woff	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/brand-icons/brand-icons.woff	(from https://frogtoken.net/assets/css/theme/main.css)
10:53:09	42880/42880	---M--	200	added ('OK')	application/octet-stream	etag:%220b1485a2fbbd81:0%22	https://frogtoken.net/assets/fonts/brand-icons/brand-icons.ttf	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/brand-icons/brand-icons.ttf	(from https://frogtoken.net/assets/css/theme/main.css)
10:53:10	51894/51894	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220b1485a2fbbd81:0%22	https://frogtoken.net/assets/fonts/brand-icons/brand-icons.svg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/brand-icons/brand-icons.svg	(from https://frogtoken.net/assets/css/theme/main.css)
10:53:11	858/858	---M-Z	200	added ('OK')	text/css	etag:%22cb27e48414e5ce1:0%22	https://frogtoken.net/froggame/css/reset.css	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/froggame/css/reset.css	(from https://frogtoken.net/froggame/)
